"Guid","Base64 Guid","Type","Asset Name"
"3dc3bda7-5562-4e35-b2ff-4a279736c379","p73DPWJVNU6y/0onlzbDeQ==","(AmbienceRadio)","(AmbienceRadio)"
"39933e01-c270-4adc-9643-d4c195fa4eef","AT6TOXDC3EqWQ9TBlfpO7w==","(AnimationGizmo_V2)","(AnimationGizmo_V2)"
"a6ff3148-a043-4b70-b2d6-05a085546cef","SDH/pkOgcEuy1gWghVRs7w==","(Arena_AutomaticGun)","(Arena_AutomaticGun)"
"ae1183c9-d1bd-43da-b1ae-abcba5cedba8","yYMRrr3R2kOxrqvLpc7bqA==","(Arena_Cyber_TrashBag_Sandbox)Variant","(Arena_Cyber_TrashBag_Sandbox)Variant"
"5f831e90-6af2-4552-bb3f-22ed2c6e4845","kB6DX/JqUkW7PyLtLG5IRQ==","(Arena_EMP)","(Arena_EMP)"
"3e7cdddf-6a1e-4e0d-95f5-76ba3a5ce36a","3918Ph5qDU6V9Xa6Olzjag==","(Arena_Grenade)","(Arena_Grenade)"
"de6b14e1-0cb1-4a19-913d-b4ca61b30798","4RRr3rEMGUqRPbTKYbMHmA==","(Arena_Pistol)","(Arena_Pistol)"
"c04e174d-6bcc-4462-9222-75d709d4273b","TRdOwMxrYkSSInXXCdQnOw==","(Arena_PowerWeapon_BeamGun)","(Arena_PowerWeapon_BeamGun)"
"e700d097-3092-4257-9e7c-c3a14605ccc4","l9AA55IwV0KefMOhRgXMxA==","(Arena_RailGun)","(Arena_RailGun)"
"60c15f4f-1a2b-408d-938c-233cf686cc5c","T1/BYCsajUCTjCM89obMXA==","(Arena_RocketLauncher)","(Arena_RocketLauncher)"
"d27107a2-2235-4ad3-a44e-0e7a1bc567eb","ogdx0jUi00qkTg56G8Vn6w==","(Arena_Shotgun)","(Arena_Shotgun)"
"facaf567-b1ba-4f3f-b1f0-b26f8a91da17","Z/XK+rqxP0+x8LJvipHaFw==","(ArtCanvas)","(ArtCanvas)"
"41de6f45-e803-4913-ba16-bf0895311b53","RW/eQQPoE0m6Fr8IlTEbUw==","(ArtCanvas_Square)","(ArtCanvas_Square)"
"ed60674c-a268-4e77-b68a-d809f507353f","TGdg7Wiid062itgJ9Qc1Pw==","(AudioEffectZone)","(AudioEffectZone)"
"8e32c141-3564-48e8-b73c-23f288658577","QcEyjmQ16Ei3PCPyiGWFdw==","(AudioPlayerNodeVisualization_CV2)","(AudioPlayerNodeVisualization_CV2)"
"507d089c-ca7f-4a49-a02e-ee9e891bf26d","nAh9UH/KSUqgLu6eiRvybQ==","(Avatar_Item_Display)","(Avatar_Item_Display)"
"60cf49d9-7d39-438c-bbe5-b512526e25da","2UnPYDl9jEO75bUSUm4l2g==","(Basketball)","(Basketball)"
"3e75c4f5-f83d-4da5-8d30-99e945c475bc","9cR1Pj34pU2NMJnpRcR1vA==","(Basketballhoop)","(Basketballhoop)"
"7e5d3c3d-6583-4edd-92d9-b353d158fc11","PTxdfoNl3U6S2bNT0Vj8EQ==","(BloomCircuit)","(BloomCircuit)"
